method;N;M;threads;chunkSize;ExecutingTime;
Runtime;400;400;6;not defined;0.0497572;
Runtime;400;400;7;not defined;0.0412867;
Runtime;400;400;8;not defined;0.0361835;
Runtime;410;410;1;not defined;0.306468;
Runtime;410;410;2;not defined;0.158523;
Runtime;410;410;3;not defined;0.104296;
Runtime;410;410;4;not defined;0.0776045;
Runtime;410;410;5;not defined;0.0611433;
Runtime;410;410;6;not defined;0.0519572;
Runtime;410;410;7;not defined;0.0464173;
Runtime;410;410;8;not defined;0.041251;
Runtime;420;420;1;not defined;0.321137;
Runtime;420;420;2;not defined;0.183876;
Runtime;420;420;3;not defined;0.115234;
Runtime;420;420;4;not defined;0.0864134;
Runtime;420;420;5;not defined;0.0667729;
Runtime;420;420;6;not defined;0.0544805;
Runtime;420;420;7;not defined;0.051467;
Runtime;420;420;8;not defined;0.0428194;
Runtime;430;430;1;not defined;0.342744;
Runtime;430;430;2;not defined;0.175437;
Runtime;430;430;3;not defined;0.11507;
Runtime;430;430;4;not defined;0.0861505;
Runtime;430;430;5;not defined;0.0707652;
Runtime;430;430;6;not defined;0.0578707;
Runtime;430;430;7;not defined;0.0556548;
Runtime;430;430;8;not defined;0.0708056;
Runtime;440;440;1;not defined;0.36394;
Runtime;440;440;2;not defined;0.186677;
Runtime;440;440;3;not defined;0.124393;
Runtime;440;440;4;not defined;0.107442;
Runtime;440;440;5;not defined;0.0793513;
Runtime;440;440;6;not defined;0.0744617;
Runtime;440;440;7;not defined;0.0567078;
Runtime;440;440;8;not defined;0.0476829;
Runtime;450;450;1;not defined;0.383959;
Runtime;450;450;2;not defined;0.205641;
Runtime;450;450;3;not defined;0.128376;
Runtime;450;450;4;not defined;0.0968065;
Runtime;450;450;5;not defined;0.0780214;
Runtime;450;450;6;not defined;0.067212;
Runtime;450;450;7;not defined;0.0621306;
Runtime;450;450;8;not defined;0.0679026;
Runtime;460;460;1;not defined;0.414734;
Runtime;460;460;2;not defined;0.210168;
Runtime;460;460;3;not defined;0.139036;
Runtime;460;460;4;not defined;0.103864;
Runtime;460;460;5;not defined;0.0881346;
Runtime;460;460;6;not defined;0.0733942;
Runtime;460;460;7;not defined;0.0651939;
Runtime;460;460;8;not defined;0.053867;
Runtime;470;470;1;not defined;0.462859;
Runtime;470;470;2;not defined;0.229945;
Runtime;470;470;3;not defined;0.152224;
Runtime;470;470;4;not defined;0.111625;
Runtime;470;470;5;not defined;0.098844;
Runtime;470;470;6;not defined;0.144391;
Runtime;470;470;7;not defined;0.0715028;
Runtime;470;470;8;not defined;0.0954697;
Runtime;480;480;1;not defined;0.476351;
Runtime;480;480;2;not defined;0.238582;
Runtime;480;480;3;not defined;0.159313;
Runtime;480;480;4;not defined;0.121554;
Runtime;480;480;5;not defined;0.0985206;
Runtime;480;480;6;not defined;0.0818206;
Runtime;480;480;7;not defined;0.0735551;
Runtime;480;480;8;not defined;0.0610925;
Runtime;490;490;1;not defined;0.49614;
Runtime;490;490;2;not defined;0.266298;
Runtime;490;490;3;not defined;0.168494;
Runtime;490;490;4;not defined;0.136078;
Runtime;490;490;5;not defined;0.112791;
Runtime;490;490;6;not defined;0.117676;
Runtime;490;490;7;not defined;0.0757564;
Runtime;490;490;8;not defined;0.094938;
Runtime;500;500;1;not defined;0.544479;
Runtime;500;500;2;not defined;0.282771;
Runtime;500;500;3;not defined;0.176886;
Runtime;500;500;4;not defined;0.137289;
Runtime;500;500;5;not defined;0.116659;
Runtime;500;500;6;not defined;0.102114;
Runtime;500;500;7;not defined;0.0841795;
Runtime;500;500;8;not defined;0.0763966;
